27311 40 20
27311 50 26
27311 60 29
27942 10 1
27942 20 6
27942 30 14
27942 40 24
27942 50 30
27942 60 25
56738 10 2
56738 20 7
56738 30 14
56738 40 20
56738 50 30
56738 60 27
27728 10 1
27728 20 6
27728 30 15
27728 40 30
27728 50 28
27728 60 19
56758 10 2
56758 20 6
56758 30 25
56758 40 22
56758 50 28
56758 60 17
56652 10 1
56652 20 4
56652 30 12
56652 40 18
56652 50 26
56652 60 39
72056 10 1
72056 20 5
72056 30 17
72056 40 23
72056 50 24
72056 60 31
27800 10 2
27800 20 7
27800 30 16
27800 40 33
27800 50 28
27800 60 15
56733 10 1
56733 20 6
56733 30 10
56733 40 22
56733 50 34
56733 60 27
56684 10 0
56684 20 4
56684 30 16
56684 40 31
56684 50 28
56684 60 20
74917 10 2
74917 20 8
74917 30 18
74917 40 31
74917 50 24
74917 60 16
78041 10 1
78041 20 5
78041 30 15
78041 40 23
78041 50 25
78041 60 31
27448 10 1
27448 20 5
27448 30 16
27448 40 28
27448 50 28
27448 60 22
74217 10 0
74217 20 7
74217 30 14
74217 40 23
74217 50 26
74217 60 28
79490 10 0
79490 20 0
79490 30 0
79490 40 0
79490 50 0
79490 60 0
76920 10 2
76920 20 29
76920 30 23
76920 40 14
76920 50 18
76920 60 14
76189 10 1
76189 20 9
76189 30 17
76189 40 24
76189 50 25
76189 60 23
56749 10 1
56749 20 4
56749 30 21
56749 40 27
56749 50 27
56749 60 20
73406 10 1
73406 20 15
73406 30 23
73406 40 19
73406 50 23
73406 60 19
27875 10 1
27875 20 7
27875 30 14
27875 40 24
27875 50 30
27875 60 25
27327 10 1
27327 20 7
27327 30 15
27327 40 25
27327 50 27
27327 60 24
56646 10 1
56646 20 7
56646 30 17
56646 40 27
56646 50 26
56646 60 23
72054 10 1
72054 20 5
72054 30 16
72054 40 25
72054 50 27
72054 60 26
74763 10 1
74763 20 4
74763 30 16
74763 40 33
74763 50 29
74763 60 18
76618 10 1
76618 20 7
76618 30 15
76618 40 29
76618 50 28
76618 60 21
76925 10 0
76925 20 6
76925 30 8
76925 40 13
76925 50 22
76925 60 50
56737 10 1
56737 20 8
56737 30 17
56737 40 24
56737 50 24
56737 60 26
74228 10 1
74228 20 6
74228 30 18
74228 40 27
74228 50 26
74228 60 23
74793 10 1
74793 20 25
74793 30 32
74793 40 18
74793 50 12
74793 60 13
27659 10 1
27659 20 7
27659 30 23
27659 40 33
27659 50 21
27659 60 15
30609 10 1
30609 20 5
30609 30 15
30609 40 26
30609 50 29
30609 60 24
56808 10 0
56808 20 5
56808 30 16
56808 40 30
56808 50 28
56808 60 20
56641 10 1
56641 20 4
56641 30 14
56641 40 27
56641 50 25
56641 60 29
56642 10 1
56642 20 6
56642 30 15
56642 40 28
56642 50 28
56642 60 23
78593 10 1
78593 20 4
78593 30 17
78593 40 17
78593 50 29
78593 60 32
27363 10 0
27363 20 8
27363 30 17
27363 40 31
27363 50 26
27363 60 18
56731 10 1
56731 20 6
56731 30 16
56731 40 31
56731 50 27
56731 60 19
56794 10 1
56794 20 5
56794 30 16
56794 40 26
56794 50 30
56794 60 23
79487 10 0
79487 20 8
79487 30 13
79487 40 20
79487 50 28
79487 60 30
27583 10 1
27583 20 5
27583 30 13
27583 40 30
27583 50 27
27583 60 25
56765 10 0
56765 20 7
56765 30 16
56765 40 30
56765 50 25
56765 60 22
56750 10 1
56750 20 6
56750 30 19
56750 40 39
56750 50 24
56750 60 12
56698 10 1
56698 20 5
56698 30 13
56698 40 30
56698 50 28
56698 60 25
27884 10 1
27884 20 6
27884 30 17
27884 40 27
27884 50 27
27884 60 22
74810 10 1
74810 20 3
74810 30 19
74810 40 28
74810 50 25
74810 60 25
56739 10 1
56739 20 5
56739 30 12
56739 40 20
56739 50 25
56739 60 38
74789 10 0
74789 20 9
74789 30 15
74789 40 29
74789 50 30
74789 60 17
74758 10 0
74758 20 4
74758 30 14
74758 40 25
74758 50 30
74758 60 26
56661 10 0
56661 20 4
56661 30 12
56661 40 21
56661 50 28
56661 60 34
56730 10 1
56730 20 5
56730 30 15
56730 40 30
56730 50 29
56730 60 21
27504 10 1
27504 20 5
27504 30 14
27504 40 28
27504 50 28
27504 60 25
76917 10 1
76917 20 9
76917 30 16
76917 40 22
76917 50 26
76917 60 26
73397 10 0
73397 20 0
73397 30 0
73397 40 0
73397 50 0
73397 60 0
56763 10 1
56763 20 6
56763 30 13
56763 40 20
56763 50 26
56763 60 34
72052 10 1
72052 20 5
72052 30 14
72052 40 20
72052 50 28
72052 60 32
74806 10 0
74806 20 3
74806 30 11
74806 40 17
74806 50 27
74806 60 41
56771 10 0
56771 20 3
56771 30 9
56771 40 17
56771 50 29
56771 60 42
78037 10 0
78037 20 3
78037 30 10
78037 40 16
78037 50 23
78037 60 47
74073 10 1
74073 20 4
74073 30 18
74073 40 23
74073 50 23
74073 60 32
72605 10 1
72605 20 6
72605 30 19
72605 40 30
72605 50 25
72605 60 18
56767 10 1
56767 20 7
56767 30 22
56767 40 27
56767 50 25
56767 60 20
56713 10 1
56713 20 5
56713 30 16
56713 40 29
56713 50 29
56713 60 21
76921 10 2
76921 20 39
76921 30 13
76921 40 14
76921 50 18
76921 60 14
56629 10 1
56629 20 9
56629 30 16
56629 40 31
56629 50 27
56629 60 15
74808 10 1
74808 20 5
74808 30 14
74808 40 22
74808 50 24
74808 60 35
56640 10 1
56640 20 5
56640 30 13
56640 40 28
56640 50 30
56640 60 24
78039 10 0
78039 20 3
78039 30 8
78039 40 16
78039 50 23
78039 60 50
79485 10 1
79485 20 13
79485 30 9
79485 40 14
79485 50 23
79485 60 39
56673 10 1
56673 20 5
56673 30 14
56673 40 23
56673 50 27
56673 60 30
45356 10 1
45356 20 5
45356 30 17
45356 40 32
45356 50 27
45356 60 18
78036 10 1
78036 20 6
78036 30 16
78036 40 29
78036 50 25
78036 60 23
56701 10 1
56701 20 5
56701 30 14
56701 40 26
56701 50 27
56701 60 28
56699 10 0
56699 20 6
56699 30 17
56699 40 32
56699 50 27
56699 60 18
27914 10 0
27914 20 5
27914 30 16
27914 40 33
27914 50 27
27914 60 19
73846 10 1
73846 20 5
73846 30 18
73846 40 30
73846 50 25
73846 60 20
74768 10 1
74768 20 5
74768 30 14
74768 40 25
74768 50 28
74768 60 27
73403 10 1
73403 20 8
73403 30 14
73403 40 25
73403 50 26
73403 60 27
76924 10 1
76924 20 11
76924 30 8
