category_id press_id journalist_id name subscribers_count articles_count cheer_counts
1 056 18426 정길훈 253 122 0
1 056 18457 박지성 387 81 0
1 056 73814 김애린 657 100 0
1 056 18300 곽선정 266 74 0
1 056 73753 김호 458 53 0
1 056 18277 박선우 283 0 0
1 056 18519 한주연 188 93 0
1 056 73765 이종완 344 148 0
1 056 78987 김현주 195 75 0
1 056 18273 이상준 310 68 0
1 056 72232 김아르내 501 73 0
1 056 18353 노준철 314 54 0
1 056 18327 박선자 164 54 0
1 056 73796 강예슬 422 43 0
1 056 72307 최위지 552 36 0
1 056 74877 이현기 312 89 0
1 056 78967 이무형 147 11 0
1 056 18410 이규명 313 61 0
1 056 18438 오중호 151 120 0
1 056 18489 박미영 214 66 0
1 056 79336 윤소영 86 29 0
1 056 18474 이만영 345 63 0
1 056 18343 이충헌 2344 0 0
1 056 78973 이희연 449 44 0
1 056 69788 이승재 1143 36 0
1 056 77722 박경준 433 57 0
1 056 74405 석민수 582 56 0
1 056 28274 조정인 503 38 0
1 056 76838 현예슬 564 43 0
1 056 76837 신현욱 545 49 0
1 056 69539 장혁진 1491 69 0
1 056 18257 손서영  0 0
1 056 18226 김민경 498 0 0
1 056 76844 황다예 619 37 0
1 056 18231 우수경 999 56 0
1 056 18446 진정은 109 70 0
1 056 18248 최현서 42 51 0
1 056 18355 임서영 283 62 0
1 056 76471 박기원 289 90 0
1 056 76584 최진석 220 28 0
1 056 18799 김익태 116 11 0
1 056 18304 유용두 118 13 0
1 056 73464 허지영 524 62 0
1 056 18363 지용수 220 31 0
1 056 18808 박준형  0 0
1 056 18451 류재현 446 63 0
1 056 18391 김도훈 428 77 0
1 056 18392 이종영 475 44 0
1 056 18289 신주현 493 70 0
1 056 18341 강탁균 213 43 0
1 056 74605 민소영 760 71 0
1 056 18211 박재우 515 71 0
1 056 78621 박가영 202 43 0
1 056 73763 이지은 527 80 0
1 056 18256 천현수 306 107 0
1 056 18516 손원혁 406 97 0
1 056 18393 김가람 281 57 0
1 056 18514 김선영 74 15 0
1 056 78958 고민주 439 79 0
1 056 18502 강인희 216 62 0
1 056 73774 송근섭 356 62 0
1 056 76455 박진영 532 30 0
1 056 79978 김지훈 33 22 0
1 056 18294 오아영 349 40 0
1 056 18205 박웅 659 160 0
1 056 74885 김소영 336 55 0
1 056 76310 이형관 288 19 0
1 056 69787 최창봉 386 14 0
1 056 73471 양민철 1526 70 0
1 056 69160 김용준 1099 55 0
1 056 18452 이지현 212 108 0
1 056 75247 윤희정 281 23 0
1 056 72224 전현우 834 43 0
1 056 18845 양민효 344 97 0
1 056 28366 김민정 572 28 0
1 056 78964 배지현 307 40 0
1 056 78966 여소연 432 63 0
1 056 71529 김진호 570 25 0
1 056 79893 김태훈 97 35 0
1 056 18320 우동윤 98 66 0
1 056 18115 이슬기 796 52 0
1 056 72228 이정은 2100 53 0
1 056 18153 이하경 348 74 0
1 056 76839 김세현 645 32 0
1 056 76012 김용덕  0 0
1 056 71472 우한솔 1630 126 0
1 056 72229 이수민 1680 62 0
1 056 71527 문예슬 1493 65 0
1 056 18239 계현우 891 13 0
1 056 71530 이호준 1151 85 0
1 056 18200 한승연 704 53 0
1 056 18202 홍수진 540 296 0
1 056 72916 김민경 244 63 0
1 056 76843 최혜림 534 59 0
1 056 18475 김지선 1000 32 0
1 056 76029 이지은 686 39 0
1 056 71575 최은진 756 47 0
1 056 79889 김영훈 158 40 0
1 056 18824 이병도 453 44 0
1 056 18513 박광식 3945 29 0
1 056 68078 오승목 616 36 0
1 056 18380 임명규 362 77 0
1 056 70450 기현정 302 22 0
1 056 18448 임세흠 463 95 0
1 056 18333 최정민 326 180 0
1 056 76849 이예린 736 65 0
1 056 76846 이도윤 861 65 0
1 056 18276 박혜진 947 33 0
1 056 71059 양예빈 761 54 0
1 056 18245 박예원 689 13 0
1 056 18794 허용석 166 22 0
1 056 73803 박연선 560 0 0
1 056 78975 최인영 521 51 0
1 056 28089 이세중 1241 47 0
1 056 18838 김석 1685 97 0
1 056 72226 박진수 1066 53 0
1 056 69537 김민혁 1634 69 0
1 056 18324 이성각 264 53 0
1 056 18348 박효인 289 55 0
1 056 18349 하선아 265 31 0
1 056 18258 최혜진 359 79 0
1 056 18265 정새배 1208 65 0
1 056 18298 황진우 739 11 0
1 056 76836 이윤우 512 51 0
1 056 28361 김범주  51 0
1 056 29586 이현준 588 64 0
1 056 18121 이재원 490 52 0
1 056 18459 윤주성 158 19 0
1 056 18858 이지윤 2375 56 0
1 056 18164 조성원 598 21 0
1 056 18305 강나루 846 62 0
1 056 28087 박찬형 564 0 0
1 056 66606 송락규 1332 102 0
1 056 29748 이승종 782 0 0
1 056 72242 민정희 1487 36 0
1 056 76835 황현규 2564 56 0
1 056 79888 최민영 125 62 0
1 056 18241 황경주 712 56 0
1 056 18128 박경호 360 0 0
1 056 18486 박재홍 120 72 0
1 056 78943 고은희 245 61 0
1 056 72345 손준수 614 49 0
1 056 18140 김지숙 928 41 0
1 056 73855 정진규 331 47 0
1 056 74726 서윤덕 463 103 0
1 056 18495 김광진 174 45 0
1 056 18369 장성길 336 18 0
1 056 18465 강전일 136 27 0
1 056 18398 김영재 114 11 0
1 056 74883 신익환 290 30 0
1 056 73463 안서연 631 63 0
1 056 71060 이화진 11194 48 0
1 056 72257 박영민 610 0 0
1 056 18143 김보람 170 54 0
1 056 18290 김귀수 816 26 0
1 056 18134 김준범 1388 69 0
1 056 18430 이준석 535 34 0
1 056 18403 박영하 232 76 0
1 056 76845 윤아림 490 43 0
1 056 72238 이준희 593 0 0
1 056 18811 조용호 645 19 0
1 056 18385 서영준 291 22 0
1 056 76028 이유진 284 109 0
1 056 18412 박형규 43 22 0
1 056 72876 백인성 1205 53 0
1 056 18370 이기문 340 32 0
1 056 18413 황재락 206 39 0
1 056 18310 강지아 133 34 0
1 056 78961 김옥천 242 28 0
1 056 18361 채승민 159 0 0
1 056 18844 장덕수 601 40 0
1 056 18439 박영관 102 0 0
1 056 18152 이재설  0 0
1 056 73461 문준영 1361 14 0
1 056 74874 이청초 339 64 0
1 056 74879 조진영 329 0 0
1 056 18507 김종환 77 0 0
1 056 18423 정혜미 756 0 0
1 056 18467 공웅조 482 170 0
1 056 77557 탁지은 69 0 0
1 056 77721 노지영 171 48 0
1 056 73460 나종훈 234 0 0
1 056 18821 한현철 166 0 0
1 056 18396 양석현 48 0 0
1 056 18442 이수진 258 26 0
1 056 18158 김기현 692 50 0
1 056 77720 김청윤 366 43 0
1 056 78969 이원희 382 47 0
1 056 72249 조휴연 411 62 0
1 056 74878 민수아 203 30 0
1 056 75407 송국회 547 49 0
1 056 78970 이유민 374 43 0
1 056 74881 이정훈 248 31 0
1 056 18400 진유민 357 22 0
1 056 18537 최상철 574 26 0
1 056 71526 박찬 1304 72 0
1 056 29747 김유대 630 39 0
1 056 78968 이세흠 209 28 0
1 056 77719 김우준 439 55 0
1 056 78959 김보담 563 45 0
1 056 18197 정현숙 263 13 0
1 056 79903 곽동화 104 54 0
1 056 76842 원동희 558 0 0
1 056 74637 이효연 864 49 0
1 056 79845 조은경 62 22 0
1 056 18176 정재우 2061 17 0
1 056 72258 신지수 997 15 0
1 056 28356 허효진 946 100 0
1 056 18340 지종익 654 26 0
1 056 28363 하무림 642 25 0
1 056 78972 이자현  0 0
1 056 18326 함영구 146 0 0
1 056 18449 배수영 224 29 0
1 056 18479 강재훈 477 20 0
1 056 18247 사정원 1132 10 0
1 056 18301 이동환 359 18 0
1 056 28355 강푸른  0 0
1 056 28360 김채린 1596 0 0
1 056 18500 박순서 72 0 0
1 056 28317 박주경 174 0 0
1 056 74884 윤경재 261 0 0
1 056 18102 이승철 596 0 0
1 056 69535 이성훈 66 14 0
1 056 18132 홍혜림 561 54 0
1 056 18147 김영은 576 44 0
1 056 28278 김철우 259 0 0
1 056 18384 박상용 221 0 0
1 056 18478 송승룡 163 30 0
1 056 18336 강규엽 211 11 0
1 056 18429 설경완 79 0 0
1 056 18365 이재경 116 0 0
1 056 18424 이영일 177 21 0
1 056 18135 이이슬 429 0 0
1 056 74882 김정대 409 73 0
1 056 18433 권기준 140 22 0
1 056 18213 황현규 288 17 0
1 056 18190 박대기 4507 0 0
1 056 28338 김양순 1097 46 0
1 056 18193 김기범 633 0 0
1 056 72223 김혜주 2115 71 0
1 056 72384 정민규 623 25 0
1 056 18817 신지원 680 0 0
1 056 78963 박준우 181 27 0
1 056 76227 임연희  0 0
1 056 18206 박주미 728 0 0
1 056 18407 박장훈 182 27 0
1 056 79332 김소영 95 12 0
1 056 18461 김재노 267 28 0
1 056 18481 배병오 28 0 0
1 056 18434 김명주 172 0 0
1 056 18228 김시원 327 17 0
1 056 18837 김경진 1917 27 0
1 056 76841 김화영 608 43 0
1 056 18302 노태영 669 12 0
1 056 18160 박원기 781 13 0
1 056 74173 오정현 571 33 0
1 056 28358 송금한 383 29 0
1 056 18329 김건우 192 40 0
1 056 18351 홍진아 2270 71 0
1 056 18509 이승훈 289 18 0
1 056 18357 김효신 802 22 0
1 056 18868 이웅수 218 162 0
1 056 71477 김지숙 1449 42 0
1 056 18450 황정호 932 48 0
1 056 18281 서재희 318 0 0
1 056 76840 정해주 798 45 0
1 056 18321 박상훈 97 19 0
1 056 18282 황동진 225 29 0
1 056 72227 공민경 834 47 0
1 056 18199 허솔지 506 10 0
1 056 18494 백미선 103 20 0
1 056 68650 오대성 1687 25 0
1 056 18372 이화연 66 0 0
1 056 18416 최송현 99 0 0
1 056 18338 노윤정 593 0 0
1 056 18440 이정은  0 0
1 056 18807 고형석 143 0 0
1 056 18441 정창화 387 0 0
1 056 18534 김혜송 28 0 0
1 056 18131 윤진 637 0 0
1 056 18359 안태성 159 0 0
1 056 18162 서영민 7289 0 0
1 056 28371 엄기숙 239 18 0
1 056 18401 김영중 56 0 0
1 056 18499 김민아 984 21 0
1 056 18124 최지영 208 10 0
1 056 18156 박해평 75 12 0
1 056 71532 방준원 1402 0 0
1 056 18243 임주영 561 0 0
1 056 18109 최진아 472 0 0
1 056 78946 김경민 46 0 0
1 056 18386 김원장 17526 0 0
1 056 73472 신수빈 671 0 0
1 056 18816 유현우 269 0 0
1 056 28091 김명섭 65 0 0
1 056 18165 이랑 1433 0 0
1 056 18358 류성호 113 12 0
1 056 18144 윤창희 1613 0 0
1 056 78601 강재윤 35 0 0
1 056 18180 심병일 109 0 0
1 056 18506 유원중 540 0 0
1 056 28336 최선중 311 11 0
1 056 18314 조미령 99 0 0
1 056 18311 이민영 323 0 0
1 056 18431 한성원 129 17 0
1 056 72256 박민경 716 37 0
1 056 18150 우한울 815 11 0
1 056 79053 이승준 38 0 0
1 056 18371 김도영 636 0 0
1 056 18503 이하늬 321 0 0
1 056 18524 송수진 796 23 0
1 056 18192 정연우 409 0 0
1 056 18435 차주하 399 0 0
1 056 18155 김성한 558 0 0
1 056 74974 은준수 189 0 0
1 056 74638 정아연 278 21 0
1 056 18464 심재남 59 0 0
1 056 18125 김덕훈 673 0 0
1 056 18366 유호윤 905 17 0
1 056 28313 강정훈 130 0 0
1 056 18313 김현수 31 0 0
1 056 18443 이은정 115 0 0
1 056 18284 이철호 699 0 0
1 056 18198 이예진 279 0 0
1 056 18279 고아름 589 12 0
1 056 18383 손은혜 378 19 0
1 056 18362 조영호 181 0 0
1 056 18463 김소영 1989 0 0
1 056 18826 임태호 156 0 0
1 056 75367 허수곤 50 0 0
1 056 18874 송명희 571 13 0
1 056 18161 최형원 683 10 0
1 056 18316 김도엽 300 0 0
1 056 79039 박은주 106 0 0
1 056 71596 김수연 709 0 0
1 056 18207 황정환 428 0 0
1 056 18418 이철재 26 0 0
1 056 18468 김영민 139 0 0
1 056 74353 조혜진 447 0 0
1 056 18825 최대수 551 0 0
1 056 18836 박현 125 0 0
1 056 71718 하누리 1048 0 0
1 056 18520 이유진 105 0 0
1 056 18262 김재현 1009 0 0
1 056 78945 하정현 34 0 0
1 056 18173 박석호 567 0 0
1 056 18388 박병준 217 0 0
1 056 28365 윤봄이 738 0 0
1 056 18269 최광호 302 0 0
1 056 75369 송혜성 54 0 0
1 056 18225 정인성 54 0 0
1 056 18536 김병용 734 0 0
1 056 18540 박성래 52 0 0
1 056 18839 김정환 58 0 0
1 056 18330 이재민 200 0 0
1 056 18220 위재천 758 0 0
1 056 18456 염기석 302 0 0
1 056 28312 구경하 865 0 0
1 056 18145 김빛이라 1933 0 0
1 056 18149 김기중 39 0 0
1 056 18462 천춘환 122 0 0
1 056 18860 한보경 845 0 0
1 056 18169 김세정 511 0 0
1 056 18113 임주현 829 0 0
1 056 18216 최준혁 294 0 0
1 056 18497 유진환 198 0 0
1 056 18249 정연욱 1790 0 0
1 056 75371 황종원 24 0 0
1 056 18315 이승기 18 0 0
1 056 18804 류호성 546 0 0
1 056 28306 홍성희 1700 0 0
1 056 18195 김민철 398 0 0
1 056 18264 국현호 210 0 0
1 056 25866 최성원 265 0 0
1 056 18842 홍찬의 60 0 0
1 056 67144 강병수 1440 0 0
1 056 18254 최성신 12 0 0
1 056 18535 모은희 411 0 0
1 056 28298 임종빈 315 0 0
1 056 75489 최석규 44 0 0
1 056 18347 양민오 117 0 0
1 056 18266 임재성 502 0 0
1 056 78981 최현진 17 0 0
1 056 18263 석혜원 885 0 0
1 056 18222 민필규 36 0 0
1 056 18373 이석재 139 0 0
1 056 18421 김대진 70 0 0
1 056 18432 김명환 64 0 0
1 056 78944 김현민 22 0 0
1 056 18843 송영석 759 0 0
1 056 18171 이세연 798 0 0
1 056 18137 박민철 1160 0 0
1 056 18267 오수호 450 0 0
1 056 18172 고순정 91 0 0
1 056 18828 이경호 113 0 0
1 056 18260 김나나 991 0 0
1 056 18846 김현경 232 0 0
1 056 18119 황현택 1737 0 0
1 056 78948 최하운 16 0 0
1 056 18253 홍석우 467 0 0
1 056 18141 강민수 867 0 0
1 056 18477 서승신 216 0 0
1 056 79046 정영훈 17 0 0
1 056 18285 김종수 804 0 0
1 056 78604 고아람 15 0 0
1 056 18175 한성윤 42 0 0
1 056 18445 양영은 1141 0 0
1 056 18325 송형국 404 0 0
1 056 75372 지선호 39 0 0
1 056 18367 이재석 516 0 0
1 056 75366 서다은 86 0 0
1 056 79045 김세희 17 0 0
1 056 18133 김성주 41 0 0
1 056 18538 이윤희 1179 0 0
1 056 28090 엄진아 566 0 0
1 056 18159 김민철 1144 0 0
